feature,importance
ghi_diff_1,1288409386.6990197
sin_hour,184484875.51017508
baseline_pred,175737618.80995974
residual_lag_1,148531849.7462975
baseline_clear_sky_index,96577823.97425461
ghi_diff_3,65495684.05210813
solar_zenith_angle,49296082.05947813
ghi_roll_mean_3,46647635.574999176
relative_humidity,46191217.05766678
solar_elevation,37251871.89370028
ghi_roll_mean_6,36506519.72557863
regime_prob_clear,36020351.2521588
ghi_lag_1,34936255.8860232
baseline_error_abs_lag_1,29861718.494225502
cloud_cover_proxy,29437559.98620637
ghi_roll_std_6,26784619.59423828
residual_lag_24,21356636.23602295
cos_hour,19697172.96237564
baseline_error_lag_1,19688437.486111324
hour_sin,19035628.33104515
baseline_pred_lag_12,15901723.552071253
regime_prob_partly_cloudy,15799663.962905249
baseline_pred_lag_6,15484687.247922262
baseline_pred_lag_3,11492829.220273336
baseline_pred_lag_1,11441151.958436966
ghi_lag_3,10889572.47767385
baseline_pred_lag_24,10688332.28462855
hour,10194068.22918129
baseline_error_trend_6,10043261.38396422
baseline_error_trend_3,9525676.730024973
ghi_roll_mean_24,9096699.109919867
residual_roll_mean_3,8814842.355648676
residual_roll_min_12,7756954.0228846865
ghi_lag_24,7660333.391278267
ghi_lag_2,6857842.109295527
residual_roll_mean_12,6618141.6547877
regime_prob_cloudy,6568399.926184337
cos_doy,6403863.375470161
sin_doy,6029343.587833087
residual_roll_std_3,5760561.234093984
ghi_roll_std_24,5499990.771507263
pressure,5497052.612408956
residual_roll_min_6,5372213.216369629
residual_roll_mean_6,5102930.5585279465
baseline_pred_lag_2,5013164.882965724
residual_roll_min_3,4700025.133418401
residual_lag_2,4612936.279515584
baseline_error_lag_24,3919870.536412557
residual_roll_std_12,3891337.7810058594
temperature,3865582.2675940194
residual_lag_3,3824102.824385325
residual_lag_6,3364583.7128149667
residual_roll_max_3,3157118.462416331
dew_point,2624544.986539205
residual_lag_12,2481544.4471740723
residual_roll_std_6,2289460.087861379
wind_speed,1876993.5073782604
hour_cos,1870634.039773941
residual_roll_mean_24,1605567.185558319
residual_roll_max_12,1567460.246603012
residual_roll_max_6,1486175.7139034271
residual_roll_max_24,1372851.6749248505
doy_sin,1178291.266860326
air_mass,1171899.2690080006
residual_roll_min_24,1097511.8106136322
baseline_error_abs_roll_24,1095278.937122345
residual_roll_std_24,1040904.7948315939
baseline_error_roll_mean_3,1040034.2234280905
baseline_error_roll_std_12,904573.4298394521
doy_cos,677604.5353161494
baseline_error_lag_6,608915.7552668253
baseline_error_roll_mean_12,608032.7957528433
baseline_error_roll_mean_6,589493.497970581
baseline_error_roll_std_3,519571.78639475506
baseline_error_lag_3,486004.3724625905
cos_zenith,475736.4691994985
baseline_error_roll_mean_24,202727.35947354636
baseline_error_roll_std_6,135200.59257062277
baseline_error_roll_std_24,92934.7889359792
clear_sky_ghi_est,27690.569378534954
is_daylight,0.0
